Grandezas diretamente proporcionais variam?;mesmo sentido,inverso,aleatório,constante;0
Grandezas inversamente proporcionais variam?;mesmo sentido,oposto,constante,aleatório;1
Função logarítmica cresce?;sempre,nunca,depende,decresce;2
Função exponencial cresce?;base>1,base<1,constante,nunca;0
Assíntota é?;reta aproximada,ponto máximo,valor mínimo,domínio;0
Função racional é?;polinômio,quociente,logaritmo,exponencial;1
Polinômio de grau 0 é?;constante,linear,quadrático,cúbico;0
Polinômio de grau 1 é?;linear,constante,quadrático,cúbico;0
Polinômio de grau 2 é?;linear,quadrático,exponencial,logarítmico;1
Coeficiente define?;forma,tamanho,direção,raiz;0
Raiz positiva significa?;acima eixo,abaixo,indefinido,zero;0
Raiz negativa significa?;acima eixo,abaixo,indefinido,zero;1
Gráfico intercepta eixo x nas?;raízes,coeficientes,valores máximos,domínios;0
