Espaço vetorial finito tem?;base finita,base infinita,dimensão infinita,nenhuma;0
Dimensão finita implica?;base finita,base infinita,dependência,nenhuma;0
Autovetores formam base se?;independentes,próprios,ortogonais,linearmente relacionados;0
Polinômio característico define?;autovalores,autovetores,matriz identidade,determinante;0
Diagonalização ocorre quando?;base de autovetores,matriz invertível,determinante zero,ortogonal;0
Matriz diagonalizável tem?;base de autovetores,determinante zero,matriz identidade,vetor;0
Operador linear contínuo se?;limitado,diferenciável,integrável,derivável;0
Norma induz distância?;sim,não,apenas em real,apenas em linear;0
Espaço de Banach é?;completo e normado,métrico,vetorial,topológico;0
Espaço de Hilbert é?;completo com produto interno,apenas normado,apenas métrico,linear;0
Operador compacto leva?;limitados em compactos,contínuos em abertos,abertos em fechados,fechados em limitados;0
Sequência ortogonal satisfaz?;produto interno zero,soma zero,limite zero,derivada zero;0
Série de Fourier representa?;função periódica,polinômio,vetor,matriz;0
Transformada de Fourier atua em?;funções,sinais,matrizes,derivadas;0
Equação parcial envolve?;derivadas parciais,somas,produtos,limites;0
Equação ordinária envolve?;derivadas simples,integrais,polinômios,funções;0
